table_name,column_name,data_type,is_nullable,column_default
v7_employees_with_projects,entry_date,date,YES,null
v7_employees_with_projects,exit_date,date,YES,null
v7_employees_with_projects,portal_role,text,YES,null
v7_employees_with_projects,assigned_projects,json,YES,null
v7_fzul_timesheets,id,uuid,NO,gen_random_uuid()
v7_fzul_timesheets,employee_id,uuid,NO,null
v7_fzul_timesheets,client_company_id,uuid,NO,null
v7_fzul_timesheets,year,integer,NO,null
v7_fzul_timesheets,month,integer,NO,null
v7_fzul_timesheets,day,integer,NO,null
v7_fzul_timesheets,available_hours,numeric,YES,0
v7_fzul_timesheets,booked_hours,numeric,YES,0
v7_fzul_timesheets,day_code,text,YES,'A'::text
v7_fzul_timesheets,based_on_source,USER-DEFINED,YES,null
v7_fzul_timesheets,is_edited,boolean,YES,false
v7_fzul_timesheets,edited_by,uuid,YES,null
v7_fzul_timesheets,created_at,timestamp with time zone,YES,now()
v7_fzul_timesheets,updated_at,timestamp with time zone,YES,now()
v7_project_assignments,id,uuid,NO,gen_random_uuid()
v7_project_assignments,project_id,uuid,NO,null
v7_project_assignments,employee_id,uuid,NO,null
v7_project_assignments,role_in_project,text,YES,null
v7_project_assignments,fue_percentage,numeric,YES,100.00
v7_project_assignments,assignment_start,date,YES,null
v7_project_assignments,assignment_end,date,YES,null
v7_project_assignments,is_active,boolean,YES,true
v7_project_assignments,created_at,timestamp with time zone,YES,now()
v7_project_assignments,updated_at,timestamp with time zone,YES,now()
v7_project_assignments,hourly_rate,numeric,YES,null
v7_project_assignments,is_project_leader,boolean,YES,false
v7_project_assignments,employee_number,integer,YES,null
v7_project_budget,id,uuid,NO,gen_random_uuid()
v7_project_budget,project_id,uuid,NO,null
v7_project_budget,total_costs,numeric,YES,null
v7_project_budget,personnel_costs,numeric,YES,null
v7_project_budget,material_costs,numeric,YES,null
v7_project_budget,subcontract_costs,numeric,YES,null
v7_project_budget,overhead_costs,numeric,YES,null
v7_project_budget,funding_rate,numeric,YES,null
v7_project_budget,funding_amount,numeric,YES,null
v7_project_budget,own_contribution,numeric,YES,null
v7_project_budget,duration_months,integer,YES,null
v7_project_budget,total_person_months,numeric,YES,null
v7_project_budget,source_filename,text,YES,null
v7_project_budget,imported_at,timestamp with time zone,YES,null
v7_project_budget,notes,text,YES,null
v7_project_budget,created_at,timestamp with time zone,YES,now()
v7_project_budget,updated_at,timestamp with time zone,YES,now()
v7_project_overview,project_id,uuid,YES,null
v7_project_overview,project_name,text,YES,null
v7_project_overview,fkz,text,YES,null
v7_project_overview,funding_format,USER-DEFINED,YES,null
v7_project_overview,start_date,date,YES,null
v7_project_overview,end_date,date,YES,null
v7_project_overview,client_company_id,uuid,YES,null
v7_project_overview,client_company_name,text,YES,null
v7_project_overview,work_package_count,bigint,YES,null
v7_project_overview,employee_count,bigint,YES,null
v7_project_overview,total_pm,numeric,YES,null
v7_project_overview,total_costs,numeric,YES,null
v7_project_overview,funding_amount,numeric,YES,null
v7_project_overview,funding_rate,numeric,YES,null
v7_project_team,id,uuid,NO,gen_random_uuid()
v7_project_team,project_id,uuid,NO,null
v7_project_team,employee_id,uuid,NO,null
v7_project_team,employee_number,integer,YES,null
v7_project_team,role_in_project,text,YES,null
v7_project_team,hourly_rate_override,numeric,YES,null
v7_project_team,start_date,date,YES,null
v7_project_team,end_date,date,YES,null
v7_project_team,is_active,boolean,YES,true
v7_project_team,created_at,timestamp with time zone,YES,now()
v7_project_team,updated_at,timestamp with time zone,YES,now()
v7_projects,id,uuid,NO,gen_random_uuid()
v7_projects,client_company_id,uuid,NO,null
v7_projects,name,text,NO,null
v7_projects,short_name,text,YES,null
v7_projects,funding_reference,text,YES,null
v7_projects,funding_format,USER-DEFINED,NO,'ZIM'::v7_funding_format
v7_projects,start_date,date,YES,null
v7_projects,end_date,date,YES,null
v7_projects,fzul_vorhaben_title,text,YES,null
v7_projects,fzul_vorhaben_id,text,YES,null
v7_projects,source_filename,text,YES,null
v7_projects,imported_at,timestamp with time zone,YES,null
v7_projects,notes,text,YES,null
v7_projects,is_active,boolean,YES,true
v7_projects,created_at,timestamp with time zone,YES,now()
v7_projects,updated_at,timestamp with time zone,YES,now()
v7_projects,project_contact_name,text,YES,null
v7_projects,project_contact_email,text,YES,null
v7_projects,project_contact_phone,text,YES,null
v7_projects,project_contact_position,text,YES,null
v7_projects,company_employee_count,integer,YES,null
v7_projects,company_revenue_previous_year,numeric,YES,null
v7_projects,company_balance_sheet_total,numeric,YES,null
v7_projects,company_founding_year,integer,YES,null
v7_projects,kmu_status,text,YES,null
v7_projects,kmu_declaration_date,date,YES,null
v7_projects,company_data_reference_date,date,YES,null
v7_projects,company_shareholders,text,YES,null
v7_projects,company_affiliated_enterprises,text,YES,null
v7_projects,funding_quota,numeric,YES,null
v7_projects,funding_amount_approved,numeric,YES,null
v7_projects,funding_amount_requested,numeric,YES,null
v7_projects,total_project_cost,numeric,YES,null
v7_projects,is_consortium_project,boolean,YES,false
v7_projects,consortium_partners,jsonb,YES,null
v7_projects,consortium_role,text,YES,null
v7_projects,project_summary,text,YES,null
v7_projects,project_goals,text,YES,null
v7_projects,application_date,date,YES,null
v7_projects,approval_date,date,YES,null
v7_projects,project_status,text,YES,'active'::text
v7_projects_with_company,id,uuid,YES,null
v7_projects_with_company,client_company_id,uuid,YES,null
v7_projects_with_company,name,text,YES,null
v7_projects_with_company,short_name,text,YES,null
v7_projects_with_company,funding_reference,text,YES,null
v7_projects_with_company,funding_format,USER-DEFINED,YES,null
v7_projects_with_company,start_date,date,YES,null
v7_projects_with_company,end_date,date,YES,null
v7_projects_with_company,fzul_vorhaben_title,text,YES,null
v7_projects_with_company,fzul_vorhaben_id,text,YES,null
v7_projects_with_company,source_filename,text,YES,null
v7_projects_with_company,imported_at,timestamp with time zone,YES,null
v7_projects_with_company,notes,text,YES,null
v7_projects_with_company,is_active,boolean,YES,null
v7_projects_with_company,created_at,timestamp with time zone,YES,null
v7_projects_with_company,updated_at,timestamp with time zone,YES,null
v7_projects_with_company,project_contact_name,text,YES,null
v7_projects_with_company,project_contact_email,text,YES,null
v7_projects_with_company,project_contact_phone,text,YES,null
v7_projects_with_company,project_contact_position,text,YES,null
v7_projects_with_company,company_employee_count,integer,YES,null
v7_projects_with_company,company_revenue_previous_year,numeric,YES,null
v7_projects_with_company,company_balance_sheet_total,numeric,YES,null
v7_projects_with_company,company_founding_year,integer,YES,null
v7_projects_with_company,kmu_status,text,YES,null
v7_projects_with_company,kmu_declaration_date,date,YES,null
v7_projects_with_company,company_data_reference_date,date,YES,null
v7_projects_with_company,company_shareholders,text,YES,null
v7_projects_with_company,company_affiliated_enterprises,text,YES,null
v7_projects_with_company,funding_quota,numeric,YES,null
v7_projects_with_company,funding_amount_approved,numeric,YES,null
v7_projects_with_company,funding_amount_requested,numeric,YES,null
v7_projects_with_company,total_project_cost,numeric,YES,null
v7_projects_with_company,is_consortium_project,boolean,YES,null
v7_projects_with_company,consortium_partners,jsonb,YES,null
v7_projects_with_company,consortium_role,text,YES,null
v7_projects_with_company,project_summary,text,YES,null
v7_projects_with_company,project_goals,text,YES,null
v7_projects_with_company,application_date,date,YES,null
v7_projects_with_company,approval_date,date,YES,null
v7_projects_with_company,project_status,text,YES,null
v7_projects_with_company,company_name,text,YES,null
v7_projects_with_company,company_short_name,text,YES,null
v7_projects_with_company,company_city,text,YES,null
v7_projects_with_company,company_federal_state,text,YES,null
v7_projects_with_company,company_contact_person,text,YES,null
v7_projects_with_company,company_contact_email,text,YES,null
v7_projects_with_leader,id,uuid,YES,null
v7_projects_with_leader,client_company_id,uuid,YES,null
v7_projects_with_leader,name,text,YES,null
v7_projects_with_leader,short_name,text,YES,null
v7_projects_with_leader,funding_reference,text,YES,null
v7_projects_with_leader,funding_format,USER-DEFINED,YES,null
v7_projects_with_leader,start_date,date,YES,null
v7_projects_with_leader,end_date,date,YES,null
v7_projects_with_leader,fzul_vorhaben_title,text,YES,null
v7_projects_with_leader,fzul_vorhaben_id,text,YES,null
v7_projects_with_leader,source_filename,text,YES,null
v7_projects_with_leader,imported_at,timestamp with time zone,YES,null
v7_projects_with_leader,notes,text,YES,null
v7_projects_with_leader,is_active,boolean,YES,null
v7_projects_with_leader,created_at,timestamp with time zone,YES,null
v7_projects_with_leader,updated_at,timestamp with time zone,YES,null
v7_projects_with_leader,project_contact_name,text,YES,null
v7_projects_with_leader,project_contact_email,text,YES,null
v7_projects_with_leader,project_contact_phone,text,YES,null
v7_projects_with_leader,project_contact_position,text,YES,null
v7_projects_with_leader,company_employee_count,integer,YES,null
v7_projects_with_leader,company_revenue_previous_year,numeric,YES,null
v7_projects_with_leader,company_balance_sheet_total,numeric,YES,null
v7_projects_with_leader,company_founding_year,integer,YES,null
v7_projects_with_leader,kmu_status,text,YES,null
v7_projects_with_leader,kmu_declaration_date,date,YES,null
v7_projects_with_leader,company_data_reference_date,date,YES,null
v7_projects_with_leader,company_shareholders,text,YES,null
v7_projects_with_leader,company_affiliated_enterprises,text,YES,null
v7_projects_with_leader,funding_quota,numeric,YES,null
v7_projects_with_leader,funding_amount_approved,numeric,YES,null
v7_projects_with_leader,funding_amount_requested,numeric,YES,null
v7_projects_with_leader,total_project_cost,numeric,YES,null
v7_projects_with_leader,is_consortium_project,boolean,YES,null
v7_projects_with_leader,consortium_partners,jsonb,YES,null
v7_projects_with_leader,consortium_role,text,YES,null
v7_projects_with_leader,project_summary,text,YES,null
v7_projects_with_leader,project_goals,text,YES,null
v7_projects_with_leader,application_date,date,YES,null
v7_projects_with_leader,approval_date,date,YES,null
v7_projects_with_leader,project_status,text,YES,null
v7_projects_with_leader,project_leader_id,uuid,YES,null
v7_projects_with_leader,project_leader_name,text,YES,null
v7_projects_with_leader,project_leader_email,text,YES,null
v7_timesheet_daily,id,uuid,YES,null
v7_timesheet_daily,employee_id,uuid,YES,null
v7_timesheet_daily,employee_name,text,YES,null
v7_timesheet_daily,client_company_id,uuid,YES,null
v7_timesheet_daily,work_date,date,YES,null
v7_timesheet_daily,year,integer,YES,null
v7_timesheet_daily,month,integer,YES,null
v7_timesheet_daily,day,integer,YES,null
v7_timesheet_daily,day_name,text,YES,null
v7_timesheet_daily,day_of_week,integer,YES,null
v7_timesheet_daily,work_package_id,uuid,YES,null
v7_timesheet_daily,ap_code,text,YES,null
v7_timesheet_daily,wp_name,text,YES,null
v7_timesheet_daily,project_id,uuid,YES,null
v7_timesheet_daily,project_name,text,YES,null
v7_timesheet_daily,funding_reference,text,YES,null
v7_timesheet_daily,hours,numeric,YES,null
v7_timesheet_daily,is_billable,boolean,YES,null
v7_timesheet_daily,absence_code,text,YES,null
v7_timesheet_daily,notes,text,YES,null
v7_timesheet_daily,day_type,USER-DEFINED,YES,null
v7_timesheet_daily,data_source,USER-DEFINED,YES,null
v7_timesheet_daily,entered_by,uuid,YES,null
v7_timesheet_daily,entered_at,timestamp with time zone,YES,null
v7_timesheet_daily,created_at,timestamp with time zone,YES,null
v7_timesheet_daily,updated_at,timestamp with time zone,YES,null
v7_timesheet_monthly_summary,employee_id,uuid,YES,null
v7_timesheet_monthly_summary,employee_name,text,YES,null
v7_timesheet_monthly_summary,client_company_id,uuid,YES,null
v7_timesheet_monthly_summary,year,integer,YES,null
v7_timesheet_monthly_summary,month,integer,YES,null
v7_timesheet_monthly_summary,work_package_id,uuid,YES,null
v7_timesheet_monthly_summary,ap_code,text,YES,null
v7_timesheet_monthly_summary,wp_name,text,YES,null
v7_timesheet_monthly_summary,project_id,uuid,YES,null
v7_timesheet_monthly_summary,project_name,text,YES,null
v7_timesheet_monthly_summary,funding_reference,text,YES,null
v7_timesheet_monthly_summary,billable_hours,numeric,YES,null
v7_timesheet_monthly_summary,non_billable_hours,numeric,YES,null
v7_timesheet_monthly_summary,vacation_days,bigint,YES,null
v7_timesheet_monthly_summary,sick_days,bigint,YES,null
v7_timesheet_monthly_summary,special_leave_days,bigint,YES,null
v7_timesheet_monthly_summary,holiday_days,bigint,YES,null
v7_timesheets,id,uuid,NO,gen_random_uuid()
v7_timesheets,employee_id,uuid,NO,null
v7_timesheets,project_id,uuid,YES,null
v7_timesheets,work_date,date,NO,null
v7_timesheets,hours,numeric,NO,0
v7_timesheets,day_type,USER-DEFINED,YES,'work'::v7_day_type
v7_timesheets,data_source,USER-DEFINED,NO,'manual'::v7_data_source
v7_timesheets,source_filename,text,YES,null
v7_timesheets,source_row,integer,YES,null
v7_timesheets,imported_at,timestamp with time zone,YES,null
v7_timesheets,imported_by,uuid,YES,null
v7_timesheets,entered_by,uuid,YES,null
v7_timesheets,entered_at,timestamp with time zone,YES,null
v7_timesheets,description,text,YES,null
v7_timesheets,is_active,boolean,YES,true
v7_timesheets,created_at,timestamp with time zone,YES,now()
v7_timesheets,updated_at,timestamp with time zone,YES,now()
v7_timesheets,work_package_id,uuid,YES,null
v7_timesheets,absence_code,text,YES,null
v7_timesheets,is_billable,boolean,YES,true
v7_timesheets,notes,text,YES,null
v7_timesheets,is_technical,boolean,YES,null
v7_user_profiles,id,uuid,NO,null
v7_user_profiles,email,text,NO,null
v7_user_profiles,first_name,text,YES,null
v7_user_profiles,last_name,text,YES,null
v7_user_profiles,display_name,text,YES,null
v7_user_profiles,role,USER-DEFINED,NO,'client_user'::v7_user_role
v7_user_profiles,consultant_company_id,uuid,YES,null
v7_user_profiles,client_company_id,uuid,YES,null
v7_user_profiles,is_active,boolean,YES,true
v7_user_profiles,invited_by,uuid,YES,null
v7_user_profiles,invited_at,timestamp with time zone,YES,null
v7_user_profiles,created_at,timestamp with time zone,YES,now()
v7_user_profiles,updated_at,timestamp with time zone,YES,now()
v7_work_package_assignments,id,uuid,NO,gen_random_uuid()
v7_work_package_assignments,work_package_id,uuid,NO,null
v7_work_package_assignments,employee_id,uuid,NO,null
v7_work_package_assignments,planned_person_months,numeric,YES,null
v7_work_package_assignments,planned_hours,numeric,YES,null
v7_work_package_assignments,planned_costs,numeric,YES,null
v7_work_package_assignments,hourly_rate,numeric,YES,null
v7_work_package_assignments,role_description,text,YES,null
v7_work_package_assignments,actual_hours,numeric,YES,null
v7_work_package_assignments,actual_costs,numeric,YES,null
v7_work_package_assignments,source_filename,text,YES,null
v7_work_package_assignments,imported_at,timestamp with time zone,YES,null
v7_work_package_assignments,notes,text,YES,null
v7_work_package_assignments,is_active,boolean,YES,true
v7_work_package_assignments,created_at,timestamp with time zone,YES,now()
v7_work_package_assignments,updated_at,timestamp with time zone,YES,now()
v7_work_package_details,work_package_id,uuid,YES,null
v7_work_package_details,project_id,uuid,YES,null
v7_work_package_details,ap_number,integer,YES,null
v7_work_package_details,ap_sub_number,integer,YES,null
v7_work_package_details,ap_code,text,YES,null
v7_work_package_details,wp_name,text,YES,null
v7_work_package_details,start_month,integer,YES,null
v7_work_package_details,end_month,integer,YES,null
v7_work_package_details,wp_total_pm,numeric,YES,null
v7_work_package_details,employee_id,uuid,YES,null
v7_work_package_details,employee_name,text,YES,null
v7_work_package_details,qualification,text,YES,null
v7_work_package_details,planned_person_months,numeric,YES,null
v7_work_package_details,planned_hours,numeric,YES,null
v7_work_package_details,hourly_rate,numeric,YES,null
v7_work_package_details,planned_costs,numeric,YES,null
v7_work_package_details,actual_hours,numeric,YES,null
v7_work_package_details,actual_costs,numeric,YES,null
v7_work_packages,id,uuid,NO,gen_random_uuid()
v7_work_packages,project_id,uuid,NO,null
v7_work_packages,ap_number,integer,NO,null
v7_work_packages,ap_code,text,YES,null
v7_work_packages,name,text,NO,null
v7_work_packages,start_month,integer,YES,null
v7_work_packages,end_month,integer,YES,null
v7_work_packages,start_date,date,YES,null
v7_work_packages,end_date,date,YES,null
v7_work_packages,total_person_months,numeric,YES,null
v7_work_packages,total_costs,numeric,YES,null
v7_work_packages,description,text,YES,null
v7_work_packages,deliverables,text,YES,null
v7_work_packages,source_filename,text,YES,null
v7_work_packages,imported_at,timestamp with time zone,YES,null
v7_work_packages,notes,text,YES,null
v7_work_packages,is_active,boolean,YES,true
v7_work_packages,created_at,timestamp with time zone,YES,now()
v7_work_packages,updated_at,timestamp with time zone,YES,now()
v7_work_packages,is_technical,boolean,YES,true
v7_work_packages,ap_sub_number,integer,YES,0
v7_work_packages,ap_sub_sub_number,integer,YES,null
v7_work_packages,ap_level_4,integer,YES,null
v7_work_packages_backup_20260120,id,uuid,YES,null
v7_work_packages_backup_20260120,project_id,uuid,YES,null
v7_work_packages_backup_20260120,ap_number,integer,YES,null
v7_work_packages_backup_20260120,ap_code,text,YES,null
v7_work_packages_backup_20260120,name,text,YES,null
v7_work_packages_backup_20260120,start_month,integer,YES,null
v7_work_packages_backup_20260120,end_month,integer,YES,null
v7_work_packages_backup_20260120,start_date,date,YES,null
v7_work_packages_backup_20260120,end_date,date,YES,null
v7_work_packages_backup_20260120,total_person_months,numeric,YES,null
v7_work_packages_backup_20260120,total_costs,numeric,YES,null
v7_work_packages_backup_20260120,description,text,YES,null
v7_work_packages_backup_20260120,deliverables,text,YES,null
v7_work_packages_backup_20260120,source_filename,text,YES,null
v7_work_packages_backup_20260120,imported_at,timestamp with time zone,YES,null
v7_work_packages_backup_20260120,notes,text,YES,null
v7_work_packages_backup_20260120,is_active,boolean,YES,null
v7_work_packages_backup_20260120,created_at,timestamp with time zone,YES,null
v7_work_packages_backup_20260120,updated_at,timestamp with time zone,YES,null
v7_work_packages_backup_20260120,is_technical,boolean,YES,null
